statement,label
"If an element is Cadmium, then its symbol is not Ir.",1
"If an element is Mercury, then its symbol is not Hg.",0
"If an element is Oxygen, then its symbol is not O.",0
"If an element is Indium, then its symbol is not In.",0
"If an element is Carbon, then its symbol is not C.",0
"If an element is Lithium, then its symbol is not Li.",0
"If an element is Tungsten, then its symbol is not Zr.",1
"If an element is Protactinium, then its symbol is not Pa.",0
"If an element is Gallium, then its symbol is not Cs.",1
"If an element is Manganese, then its symbol is not Gd.",1
"If an element is Calcium, then its symbol is not P.",1
"If an element is Chromium, then its symbol is not Ru.",1
"If an element is Cobalt, then its symbol is not Co.",0
"If an element is Cesium, then its symbol is not Cs.",0
"If an element is Tungsten, then its symbol is not W.",0
"If an element is Sodium, then its symbol is not Na.",0
"If an element is Ytterbium, then its symbol is not Yb.",0
"If an element is Rhenium, then its symbol is not Re.",0
"If an element is Argon, then its symbol is not Co.",1
"If an element is Zinc, then its symbol is not Zn.",0
"If an element is Uranium, then its symbol is not U.",0
"If an element is Ruthenium, then its symbol is not Ru.",0
"If an element is Magnesium, then its symbol is not Br.",1
"If an element is Iodine, then its symbol is not I.",0
"If an element is Zirconium, then its symbol is not Eu.",1
"If an element is Rhodium, then its symbol is not Sn.",1
"If an element is Bismuth, then its symbol is not La.",1
"If an element is Nitrogen, then its symbol is not La.",1
"If an element is Oxygen, then its symbol is not Ne.",1
"If an element is Lutetium, then its symbol is not Be.",1
"If an element is Praseodymium, then its symbol is not Sc.",1
"If an element is Germanium, then its symbol is not Ge.",0
"If an element is Terbium, then its symbol is not Tb.",0
"If an element is Argon, then its symbol is not Ar.",0
"If an element is Scandium, then its symbol is not Rn.",1
"If an element is Erbium, then its symbol is not Er.",0
"If an element is Chromium, then its symbol is not Cr.",0
"If an element is Astatine, then its symbol is not At.",0
"If an element is Nickel, then its symbol is not Ni.",0
"If an element is Praseodymium, then its symbol is not Pr.",0
"If an element is Yttrium, then its symbol is not Y.",0
"If an element is Tellurium, then its symbol is not Te.",0
"If an element is Niobium, then its symbol is not Rh.",1
"If an element is Neodymium, then its symbol is not Ac.",1
"If an element is Fluorine, then its symbol is not F.",0
"If an element is Vanadium, then its symbol is not V.",0
"If an element is Thallium, then its symbol is not Sr.",1
"If an element is Samarium, then its symbol is not Pr.",1
"If an element is Hydrogen, then its symbol is not Pt.",1
"If an element is Neptunium, then its symbol is not Na.",1
"If an element is Platinum, then its symbol is not La.",1
"If an element is Tin, then its symbol is not Be.",1
"If an element is Thorium, then its symbol is not Th.",0
"If an element is Samarium, then its symbol is not Sm.",0
"If an element is Hydrogen, then its symbol is not H.",0
"If an element is Silicon, then its symbol is not Si.",0
"If an element is Barium, then its symbol is not Ba.",0
"If an element is Lanthanum, then its symbol is not La.",0
"If an element is Cerium, then its symbol is not Ce.",0
"If an element is Silicon, then its symbol is not Rn.",1
"If an element is Lanthanum, then its symbol is not Po.",1
"If an element is Molybdenum, then its symbol is not Mo.",0
"If an element is Gadolinium, then its symbol is not Hg.",1
"If an element is Hafnium, then its symbol is not Nd.",1
"If an element is Arsenic, then its symbol is not As.",0
"If an element is Aluminum, then its symbol is not Al.",0
"If an element is Copper, then its symbol is not Cu.",0
"If an element is Promethium, then its symbol is not Dy.",1
"If an element is Holmium, then its symbol is not Tb.",1
"If an element is Iron, then its symbol is not Fe.",0
"If an element is Technetium, then its symbol is not Tc.",0
"If an element is Technetium, then its symbol is not Ag.",1
"If an element is Cobalt, then its symbol is not Lu.",1
"If an element is Helium, then its symbol is not Xe.",1
"If an element is Nickel, then its symbol is not Rb.",1
"If an element is Krypton, then its symbol is not Nb.",1
"If an element is Boron, then its symbol is not Pm.",1
"If an element is Copper, then its symbol is not Ta.",1
"If an element is Titanium, then its symbol is not B.",1
"If an element is Thulium, then its symbol is not Ne.",1
"If an element is Osmium, then its symbol is not Rn.",1
"If an element is Neodymium, then its symbol is not Nd.",0
"If an element is Iridium, then its symbol is not Fe.",1
"If an element is Cesium, then its symbol is not Tc.",1
"If an element is Dysprosium, then its symbol is not Dy.",0
"If an element is Europium, then its symbol is not Ga.",1
"If an element is Gadolinium, then its symbol is not Gd.",0
"If an element is Helium, then its symbol is not He.",0
"If an element is Radon, then its symbol is not Rn.",0
"If an element is Carbon, then its symbol is not In.",1
"If an element is Germanium, then its symbol is not Br.",1
"If an element is Tellurium, then its symbol is not O.",1
"If an element is Lead, then its symbol is not Na.",1
"If an element is Polonium, then its symbol is not Po.",0
"If an element is Platinum, then its symbol is not Pt.",0
"If an element is Sulfur, then its symbol is not Cs.",1
"If an element is Radium, then its symbol is not Sm.",1
"If an element is Antimony, then its symbol is not Sb.",0
"If an element is Protactinium, then its symbol is not Ir.",1
"If an element is Astatine, then its symbol is not Mg.",1
"If an element is Tin, then its symbol is not Sn.",0
"If an element is Iodine, then its symbol is not Nb.",1
"If an element is Terbium, then its symbol is not Ta.",1
"If an element is Tantalum, then its symbol is not Cs.",1
"If an element is Manganese, then its symbol is not Mn.",0
"If an element is Radon, then its symbol is not H.",1
"If an element is Lead, then its symbol is not Pb.",0
"If an element is Vanadium, then its symbol is not Ba.",1
"If an element is Radium, then its symbol is not Ra.",0
"If an element is Nitrogen, then its symbol is not N.",0
"If an element is Scandium, then its symbol is not Sc.",0
