statement,label
"If an element is Copper, then its symbol is Cu.",1
"If an element is Promethium, then its symbol is Dy.",0
"If an element is Holmium, then its symbol is Tb.",0
"If an element is Iron, then its symbol is Fe.",1
"If an element is Technetium, then its symbol is Tc.",1
"If an element is Technetium, then its symbol is Ag.",0
"If an element is Cobalt, then its symbol is Lu.",0
"If an element is Helium, then its symbol is Xe.",0
"If an element is Nickel, then its symbol is Rb.",0
"If an element is Krypton, then its symbol is Nb.",0
"If an element is Boron, then its symbol is Pm.",0
"If an element is Copper, then its symbol is Ta.",0
"If an element is Titanium, then its symbol is B.",0
"If an element is Thulium, then its symbol is Ne.",0
"If an element is Osmium, then its symbol is Rn.",0
"If an element is Neodymium, then its symbol is Nd.",1
"If an element is Iridium, then its symbol is Fe.",0
"If an element is Cesium, then its symbol is Tc.",0
"If an element is Dysprosium, then its symbol is Dy.",1
"If an element is Europium, then its symbol is Ga.",0
"If an element is Gadolinium, then its symbol is Gd.",1
"If an element is Helium, then its symbol is He.",1
"If an element is Radon, then its symbol is Rn.",1
"If an element is Carbon, then its symbol is In.",0
"If an element is Germanium, then its symbol is Br.",0
"If an element is Tellurium, then its symbol is O.",0
"If an element is Lead, then its symbol is Na.",0
"If an element is Polonium, then its symbol is Po.",1
"If an element is Platinum, then its symbol is Pt.",1
"If an element is Sulfur, then its symbol is Cs.",0
"If an element is Radium, then its symbol is Sm.",0
"If an element is Antimony, then its symbol is Sb.",1
"If an element is Protactinium, then its symbol is Ir.",0
"If an element is Astatine, then its symbol is Mg.",0
"If an element is Tin, then its symbol is Sn.",1
"If an element is Iodine, then its symbol is Nb.",0
"If an element is Terbium, then its symbol is Ta.",0
"If an element is Tantalum, then its symbol is Cs.",0
"If an element is Manganese, then its symbol is Mn.",1
"If an element is Radon, then its symbol is H.",0
"If an element is Lead, then its symbol is Pb.",1
"If an element is Vanadium, then its symbol is Ba.",0
"If an element is Radium, then its symbol is Ra.",1
"If an element is Nitrogen, then its symbol is N.",1
"If an element is Scandium, then its symbol is Sc.",1
